segmentNo	firstIdx	肝	心	脾	肺	腎	精	氣	神	血	痰	鬱	陰	陽	表	裏	寒	熱	虛	實	風	暑	濕	燥	火
1	0	7	22	14	8	12	17	128	32	20	2	2	148	165	69	43	142	132	89	74	31	5	25	18	38
2	8624	1	7	6	2	4	29	117	11	16	6	0	62	57	26	17	80	87	67	54	6	2	3	4	27
3	17248	7	25	9	8	9	23	82	47	29	3	1	31	27	7	6	40	40	17	18	2	2	2	2	39
4	25872	4	1	12	1	28	62	133	20	18	1	2	106	141	4	3	60	67	37	25	17	0	2	1	98
5	34496	10	12	33	5	20	14	141	10	42	8	1	76	93	6	6	124	103	70	32	10	3	20	14	118
6	43120	16	33	18	18	18	15	160	17	26	3	2	65	77	18	11	28	26	40	43	12	1	2	1	15
7	51744	14	20	17	11	14	13	127	18	44	7	3	73	77	10	8	53	78	102	75	12	1	4	0	20
8	60368	5	14	6	5	4	11	91	15	22	0	4	89	111	38	35	126	59	46	30	43	5	4	4	3
9	68992	0	24	3	1	3	3	78	5	13	0	3	98	197	69	51	117	137	65	45	14	0	1	18	21
10	77616	0	9	5	0	0	4	69	6	3	0	1	91	159	74	43	136	95	67	33	17	2	0	4	14
11	86240	1	24	4	2	4	5	68	13	56	2	4	68	122	42	31	119	129	55	47	14	17	18	7	15
12	94864	8	26	13	6	10	1	95	5	30	2	0	90	86	42	31	178	186	72	24	18	7	16	8	12
13	103488	23	15	26	14	11	4	127	6	38	19	4	47	53	13	6	71	60	76	16	295	6	21	4	9
14	112112	31	8	27	5	22	15	161	15	77	107	4	52	32	5	4	65	50	77	20	154	1	13	12	29
15	120736	9	15	12	17	19	15	184	18	55	37	4	96	83	4	3	89	85	37	20	88	2	14	6	23
16	129360	7	17	12	11	17	14	128	4	55	12	2	145	114	17	5	90	91	68	7	89	3	58	15	35
17	137984	4	11	12	5	4	8	118	11	27	4	1	60	65	31	18	144	194	77	50	10	8	5	4	23
18	146608	6	7	26	4	10	6	192	5	16	11	5	90	87	15	8	138	107	72	20	32	22	8	2	18
19	155232	9	24	21	19	10	0	146	12	13	16	7	43	39	8	3	124	149	35	15	30	31	33	5	11
20	163856	15	12	17	6	13	3	153	6	22	0	5	142	129	14	9	281	278	72	14	21	66	1	1	28
21	172480	17	24	23	17	19	18	169	23	27	3	7	85	82	1	1	86	136	108	48	12	40	13	6	209
22	181104	32	45	38	22	55	51	117	26	74	12	2	130	90	1	2	56	62	149	15	4	4	3	10	52
23	189728	12	22	40	19	10	21	201	10	13	3	0	89	74	17	12	72	45	47	23	16	4	6	2	16
24	198352	5	16	120	11	7	20	249	16	30	2	3	57	80	6	2	39	42	47	24	9	2	10	7	43
25	206976	20	67	56	11	23	25	205	43	35	73	8	88	94	1	0	29	48	87	29	27	0	11	0	49
26	215600	7	29	35	107	44	27	144	7	17	50	5	83	49	11	3	60	55	68	26	29	0	15	11	69
27	224224	12	16	16	67	24	8	231	14	12	33	37	40	43	5	3	89	60	71	33	23	0	3	6	42
28	232848	22	29	39	9	6	12	134	22	27	17	94	34	30	10	7	71	45	80	35	5	2	10	5	53
29	241472	4	45	42	4	6	0	127	4	14	18	9	49	35	1	1	133	147	40	19	12	7	15	2	29
30	250096	2	26	59	4	16	5	149	8	34	38	11	51	61	5	1	68	95	71	16	10	0	10	17	34
31	258720	12	8	53	13	31	12	190	12	40	3	0	47	34	4	5	47	48	68	48	10	1	27	1	11
32	267344	13	24	58	4	13	3	148	12	40	8	4	51	40	3	4	75	49	54	24	19	1	15	3	19
33	275968	10	1	82	0	29	4	143	14	34	1	0	57	63	1	3	134	156	72	36	11	8	32	2	36
34	284592	7	102	33	4	14	2	165	17	67	11	14	51	19	2	7	115	99	71	43	5	3	6	2	37
35	293216	58	40	20	8	41	8	122	11	44	16	11	64	74	17	9	85	65	47	14	16	1	26	3	18
36	301840	29	45	34	13	20	28	98	23	23	22	4	80	71	7	5	72	105	65	24	43	0	13	5	67
37	310464	53	20	16	12	40	20	122	16	58	1	10	54	85	1	2	35	94	58	28	60	2	3	6	86
38	319088	18	31	13	38	31	10	120	7	19	20	7	71	75	1	1	40	47	53	29	35	0	4	5	92
39	327712	9	53	31	9	62	98	85	49	33	0	3	55	43	0	0	50	80	47	10	6	0	17	3	55
40	336336	35	31	28	32	39	24	170	11	244	5	7	76	60	3	3	48	69	81	24	6	4	11	8	72
41	344960	13	16	50	23	32	17	80	15	204	101	3	73	49	3	2	68	47	72	28	16	1	10	4	85
42	353584	12	14	72	14	25	5	172	17	23	296	17	42	26	6	6	80	81	63	19	45	1	131	16	42
43	362208	6	23	25	1	15	3	159	9	18	5	8	48	37	21	12	79	122	52	19	61	6	158	6	13
44	370832	40	36	25	21	46	25	133	5	33	3	13	116	74	1	3	82	98	57	20	26	5	58	9	36
45	379456	21	30	13	5	20	6	166	28	28	27	4	86	93	3	3	59	74	48	29	17	2	14	2	36
46	388080	16	6	29	12	29	4	113	5	67	1	2	67	33	4	2	46	74	63	28	88	0	7	42	40
47	396704	5	19	14	8	6	12	233	12	13	0	1	79	84	1	2	30	34	13	7	12	3	9	4	15
48	405328	17	27	23	30	17	40	512	25	52	0	1	57	57	2	2	45	35	61	34	21	4	13	9	14
49	413952	24	46	23	25	28	24	138	41	27	0	2	73	62	2	2	28	29	56	21	37	2	2	1	9
50	422576	36	42	83	17	31	25	134	10	204	1	14	88	44	3	1	43	55	90	20	8	2	0	10	56
51	431200	26	20	54	6	18	6	161	10	135	6	5	57	36	1	1	22	61	79	15	5	1	0	1	25
52	439824	8	15	15	0	6	1	110	10	85	3	2	35	11	8	3	32	47	70	31	8	1	0	1	25
53	448448	24	34	30	6	28	21	133	19	68	6	4	86	60	5	2	51	63	53	11	12	0	8	5	24
54	457072	31	11	40	3	16	30	170	4	76	7	6	108	31	5	4	44	61	63	35	18	0	8	2	11
55	465696	49	27	84	22	25	5	124	22	29	49	3	51	37	6	1	60	88	95	48	92	0	3	9	55
56	474320	14	12	44	7	16	2	78	16	21	9	2	45	41	8	5	73	176	68	22	10	7	4	2	33
57	482944	10	18	32	21	9	3	66	13	23	4	2	28	21	18	6	45	97	19	19	20	0	3	3	19
58	491568	6	30	15	25	7	5	88	15	63	4	1	9	27	33	27	35	95	41	34	7	0	0	8	20
59	500192	0	12	9	0	1	3	108	13	60	5	1	24	29	54	30	43	156	62	46	6	0	2	6	32
60	508816	1	4	28	1	4	1	136	1	79	2	1	7	9	32	23	33	111	63	17	16	0	7	7	15
61	517440	1	10	27	1	5	1	121	17	46	3	1	12	18	12	11	55	87	55	32	20	0	7	2	18
62	526064	11	25	24	23	22	1	105	17	48	12	3	43	54	31	18	55	120	72	23	17	0	6	5	57
63	534688	30	9	26	10	4	11	131	11	65	5	2	23	33	19	11	84	122	46	20	32	1	12	8	49
64	543312	3	7	33	12	14	26	177	11	56	2	4	29	31	15	38	54	65	126	43	4	1	0	0	17
65	551936	1	7	14	1	1	5	107	12	74	0	6	26	36	13	26	39	50	34	18	5	5	1	2	11
66	560560	2	13	21	1	9	1	153	12	80	7	6	22	25	11	33	54	102	105	38	7	0	6	3	28
67	569184	23	10	35	7	27	9	124	15	73	1	6	44	40	6	43	45	95	104	20	14	0	6	12	47
68	577808	21	9	19	53	10	2	140	10	92	15	17	12	16	23	34	38	65	46	33	27	0	1	5	18
69	586432	30	5	25	2	22	9	154	3	66	9	7	27	18	2	14	43	68	62	6	30	0	32	2	23
70	595056	54	6	46	5	43	11	126	7	87	13	3	75	16	6	15	25	123	91	12	43	0	39	10	39
71	603680	29	12	22	12	14	16	109	15	111	6	8	39	23	22	25	42	73	73	22	57	2	5	16	37
72	612304	22	19	20	36	17	13	133	6	141	17	6	120	76	16	1	69	121	41	18	56	0	38	15	56
73	620928	18	31	24	20	18	7	198	8	122	19	13	60	60	12	5	88	104	34	4	60	2	33	7	30
74	629552	20	46	20	19	19	12	171	9	125	57	9	83	50	2	2	67	108	33	25	63	1	46	11	52
75	638176	15	32	23	19	18	26	156	21	137	68	2	51	37	6	2	48	69	37	12	46	3	27	11	37
76	646800	5	13	13	12	18	25	83	8	80	13	1	83	73	12	6	62	83	62	22	36	1	8	10	44
77	655424	12	10	17	8	12	10	104	13	44	22	1	49	21	7	3	73	52	55	16	21	3	10	5	26
78	664048	14	16	37	2	20	5	77	20	72	10	6	49	25	3	1	60	75	76	11	8	0	14	3	47
79	672672	2	9	12	5	1	3	51	15	35	5	1	15	17	7	3	36	67	51	11	16	0	13	2	34
80	681296	3	65	18	10	16	13	53	38	56	9	4	21	17	4	0	22	44	83	11	19	0	6	9	24
81	689920	3	39	23	2	27	10	91	21	18	18	3	14	13	0	0	21	29	40	13	23	1	14	5	6
82	698544	0	38	28	6	0	1	62	29	12	50	14	6	10	1	1	17	32	11	18	21	12	29	2	4
83	707168	7	47	14	7	8	0	70	13	49	18	2	8	5	0	2	25	36	15	14	74	3	27	4	7
84	715792	2	59	5	3	3	3	74	22	26	10	2	7	6	5	10	27	54	15	18	46	2	7	12	15
85	724416	2	33	9	7	2	1	53	11	29	53	8	6	5	1	1	15	39	5	20	25	0	14	5	18
86	733040	10	26	1	6	3	3	38	10	8	10	4	8	33	12	5	80	78	12	7	121	4	18	6	7
87	741664	13	59	6	20	0	1	17	11	60	12	0	9	10	1	2	26	126	13	9	25	7	16	4	28
88	750288	9	38	17	7	8	5	36	18	23	14	0	26	19	0	2	56	44	51	8	22	1	12	3	22
89	758912	0	63	22	0	25	3	55	15	6	14	1	18	18	0	1	60	29	34	8	8	3	12	1	5
90	767536	14	65	4	5	14	35	37	22	22	1	1	11	10	0	2	12	29	40	9	41	0	2	4	12
91	776160	3	13	0	7	14	0	16	13	26	10	1	4	7	0	1	12	43	9	6	55	0	2	4	20
92	784784	5	16	5	1	1	1	50	12	28	0	1	15	7	1	0	10	26	10	4	19	0	9	5	18
93	793408	7	43	16	4	2	2	65	12	85	7	1	8	10	1	2	28	53	55	4	14	0	2	4	8
94	802032	10	46	23	7	7	4	41	27	54	4	3	3	8	1	1	41	61	68	15	28	2	2	4	10
95	810656	8	31	28	4	2	0	45	20	26	24	1	6	9	7	5	33	76	51	16	43	0	3	0	9
96	819280	5	13	1	11	0	3	33	13	23	4	1	2	8	21	9	14	67	16	17	51	0	3	2	16
97	827904	6	26	13	4	6	0	56	10	31	4	7	11	14	3	27	30	64	33	17	25	0	5	3	13
98	836528	1	17	0	16	0	1	53	24	40	3	4	13	17	1	7	23	33	17	6	14	0	7	2	13
99	845152	13	11	8	1	4	3	32	15	59	1	6	11	1	6	6	2	38	16	4	76	0	7	2	10
100	853776	12	10	29	10	10	3	47	15	54	7	0	14	10	2	0	43	67	44	9	49	0	10	7	32
